Sample,B,CD4 T,Endothelial,Epithelial,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown
4,8079,1170,723,236,2098,1604,572,143,54,11
4,1184,11701,454,420,3805,217,1126,448,12,3
4,717,423,1943,105,1566,2,38,375,57,18
4,233,409,112,11231,377,138,150,547,14,1
4,2115,3723,1618,371,8074,78,707,585,51,18
4,1628,218,2,149,80,2000,207,4,0,0
4,585,1124,45,156,723,200,623,89,1,0
4,155,427,386,559,572,3,81,1865,19,0
4,55,9,52,2,46,0,0,6,118,3
4,15,2,23,1,17,0,0,0,4,0
5,24093,2442,206,372,1522,3718,1292,50,74,116
5,2469,14753,246,331,1550,946,1332,117,4,80
5,190,202,367,67,307,16,41,128,46,32
5,357,317,60,5555,494,105,116,63,8,57
5,1495,1506,319,482,2034,149,541,148,17,38
5,3723,943,15,107,149,2736,321,15,3,156
5,1295,1340,42,120,552,314,870,15,0,2
5,41,105,120,66,136,12,16,398,4,47
5,69,4,34,7,11,3,0,3,122,23
5,108,78,31,57,37,149,1,47,22,523
6,12602,937,52,230,686,882,359,34,180,3522
6,970,8766,138,133,1681,511,640,224,33,444
6,49,123,401,15,253,28,17,136,347,86
6,229,127,18,4023,305,30,73,35,72,421
6,702,1653,257,302,4132,73,464,277,20,27
6,872,492,27,33,74,745,90,14,4,531
6,355,643,21,76,481,86,361,57,3,0
6,29,207,142,34,268,11,52,750,29,25
6,115,16,312,61,17,2,2,32,3039,296
6,3505,434,84,445,23,506,0,31,365,11886
7,17486,2474,768,471,1133,1856,342,124,457,133
7,2563,28630,519,263,917,370,302,223,117,42
7,673,439,1254,11,285,6,11,109,392,43
7,444,245,9,2322,194,45,51,46,44,8
7,1110,880,309,192,610,24,75,59,39,26
7,1845,382,5,50,24,1641,72,2,11,2
7,351,282,13,52,77,71,87,10,3,3
7,117,206,110,48,56,2,10,708,56,1
7,356,71,332,34,27,9,1,39,1230,62
7,117,33,41,7,25,2,3,0,75,22
8,33026,1223,150,423,634,7538,468,12,222,466
8,1249,2732,49,5,127,820,215,5,11,192
8,139,47,356,8,169,90,8,39,113,122
8,411,6,6,4347,19,1192,3,3,51,713
8,614,121,201,16,1240,69,276,21,27,13
8,7466,835,93,1229,74,17074,63,16,25,965
8,468,224,8,3,289,62,571,2,0,3
8,11,3,35,3,18,16,1,11,1,15
8,179,3,85,49,9,26,0,1,713,259
8,441,176,121,697,13,929,3,16,289,1692
9,16716,1521,184,122,298,4601,15,1,142,801
9,1543,8743,130,12,147,3015,19,4,27,1286
9,153,115,792,43,124,170,2,47,380,306
9,106,13,48,6452,10,528,0,8,231,438
9,306,143,142,11,336,99,14,3,18,60
9,4612,3003,188,542,95,13536,15,35,32,1939
