Sample,B,CD4 T,Endothelial,Epithelial,Immune,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown
4,6682,753,76,234,,775,1600,548,47,198,0
4,764,11701,454,420,,3805,217,1126,448,432,3
4,67,423,1943,105,,1566,2,38,375,707,18
4,231,409,112,11231,,377,138,150,547,16,1
4,,,,,,,,,,,
4,774,3723,1618,371,,8074,78,707,585,1392,18
4,1624,218,2,149,,80,2000,207,4,4,0
4,559,1124,45,156,,723,200,623,89,27,0
4,47,427,386,559,,572,3,81,1865,127,0
4,184,426,699,4,,1369,4,24,102,1242,14
4,0,2,23,1,,17,0,0,0,19,0
5,23038,2226,103,331,9,1179,3546,1373,32,346,52
5,2234,14753,246,331,19,1550,860,1418,117,239,61
5,88,202,367,67,2,307,6,51,128,148,30
5,317,317,60,5555,7,494,94,127,63,48,50
5,9,22,2,7,8,4,0,17,2,11,34
5,1151,1506,319,482,4,2034,136,554,148,361,34
5,3541,856,5,96,0,136,2530,320,2,28,0
5,1378,1427,52,131,20,565,314,1077,28,74,138
5,26,105,120,66,1,136,2,26,398,19,46
5,313,220,137,48,9,354,24,70,21,661,69
5,47,56,29,50,35,33,0,133,45,63,446
6,12145,784,22,194,2693,496,566,611,22,265,809
6,796,8766,138,133,348,1681,335,816,224,207,96
6,19,123,401,15,19,253,3,42,136,377,67
6,183,127,18,4023,25,305,11,92,35,118,396
6,2714,342,18,27,6047,0,0,356,5,65,1192
6,495,1653,257,302,0,4132,30,507,277,227,27
6,572,320,2,14,0,33,291,98,5,18,0
6,589,815,46,95,368,522,96,797,66,55,163
6,18,207,142,34,4,268,3,60,750,40,21
6,210,169,342,97,43,207,15,53,44,3316,273
6,769,92,66,418,1139,23,0,150,26,322,3508
7,12367,1381,74,335,0,427,1747,375,22,917,18
7,1408,28630,519,263,0,917,365,307,223,1272,42
7,59,439,1254,11,1,285,0,17,109,1006,42
7,320,245,9,2322,0,194,34,62,46,168,8
7,0,0,3,0,0,0,0,0,0,5,0
7,407,880,309,192,0,610,22,77,59,742,26
7,1729,376,0,38,0,20,1623,77,2,25,0
7,387,288,18,64,0,81,77,94,10,69,5
7,22,206,110,48,0,56,2,10,708,151,1
7,859,1164,1026,170,5,733,24,62,141,5386,172
7,16,33,38,7,0,25,0,5,0,171,22
8,32092,1006,32,399,102,364,190,7566,1,419,239
8,1025,2732,49,5,57,127,44,991,5,235,135
8,30,47,356,8,0,169,1,97,39,222,122
8,389,6,6,4347,3,19,0,1195,3,73,710
8,94,58,0,5,34,0,0,85,0,25,27
8,350,121,201,16,0,1240,6,339,21,291,13
8,199,46,1,0,0,6,32,44,0,1,1
8,7487,1013,100,1232,86,357,44,17650,18,272,881
8,0,3,35,3,0,18,0,17,11,12,15
8,394,220,203,73,23,279,0,276,12,1235,361
8,222,118,121,692,25,13,1,846,16,389,1606
9,15193,1014,5,100,280,30,,4214,0,265,221
9,1019,8743,130,12,402,147,,3034,4,551,884
9,5,115,792,43,6,124,,172,47,528,300
9,86,13,48,6452,8,10,,528,8,251,430
9,277,406,8,9,119,0,,338,2,10,125
9,31,143,142,11,0,336,,113,3,293,60
9,,,,,,,,,,,
9,4214,3022,190,542,347,106,,13568,35,445,1593
9,0,5,46,10,2,2,,24,17,14,23
9,250,531,506,225,10,283,,425,14,3062,773
9,225,834,323,420,122,54,,1506,26,821,3901
10,36076,2927,98,212,19,1085,2783,4926,30,998,70
10,2909,8944,112,24,55,312,324,2393,30,654,138
10,87,101,357,58,0,139,1,161,105,180,69
10,202,26,61,3302,0,520,2,78,5,37,21
10,18,61,0,0,4,0,0,21,1,3,11
10,1058,306,158,509,0,2103,56,699,46,412,48
10,2745,343,0,1,0,56,1788,297,0,21,2
10,4920,2388,194,72,21,714,298,5450,18,754,166
10,24,25,102,10,1,45,0,17,88,41,17
10,980,637,200,39,3,397,21,744,53,1510,95
10,67,136,68,21,11,41,1,166,14,94,107
11,24017,3169,227,847,,1631,2201,2418,26,1346,5
11,3143,8804,140,11,,1187,358,2006,17,706,6
11,192,119,968,97,,533,3,62,142,553,23
11,782,10,109,6259,,590,26,128,52,329,46
11,,,,,,,,,,,
11,1603,1137,594,589,,2726,31,882,100,926,24
11,2207,352,4,25,,34,1114,242,0,24,1
11,2394,1961,69,133,,901,238,1893,9,201,2
11,23,11,137,47,,91,0,7,264,27,2
11,1298,680,556,309,,893,25,203,30,2905,59
11,5,5,22,41,,24,0,1,2,69,12
12,30679,2144,55,121,323,351,347,5697,8,373,369
12,2158,10020,150,97,375,185,64,3376,28,328,707
12,47,123,277,11,5,65,0,174,66,71,157
12,112,99,10,2670,2,227,0,149,7,97,136
12,332,364,6,0,169,1,0,311,0,15,138
12,336,184,73,235,0,503,4,240,23,88,62
12,343,70,0,0,0,4,41,38,0,7,0
12,5670,3343,184,148,300,248,38,8074,33,325,1008
12,6,25,69,8,0,23,0,29,34,8,17
12,352,295,81,79,15,88,4,300,5,461,526
12,351,667,157,135,125,63,0,968,18,591,2484
13,35197,3235,150,325,,1479,3718,1960,27,1379,5
13,3220,17202,195,13,,1950,631,1488,43,816,5
13,137,163,611,15,,372,8,37,80,633,37
13,308,14,14,1824,,224,25,83,0,95,2
13,,,,,,,,,,,
13,1465,1907,401,233,,2650,96,612,62,966,17
13,3784,632,9,26,,102,3323,296,4,104,0
13,1942,1473,41,79,,617,294,864,16,179,7
13,27,39,84,0,,60,3,13,131,34,2
13,1351,794,647,93,,927,104,160,32,2316,95
13,5,5,32,2,,13,0,7,1,90,10
14,32396,2024,54,380,576,524,1711,3135,14,524,505
14,2029,17313,314,34,285,800,345,1577,48,468,621
14,46,281,448,6,3,164,0,51,60,123,110
14,353,37,8,4179,9,59,10,372,3,113,491
14,576,281,5,10,253,0,0,220,0,26,183
14,510,743,168,67,0,676,55,249,24,177,5
14,1716,342,1,12,0,57,1538,205,3,30,0
14,3115,1582,60,387,219,259,205,3300,11,155,473
14,15,44,60,3,0,25,3,14,53,17,12
14,490,454,127,93,27,179,33,142,19,548,313
14,490,569,117,511,182,5,0,473,11,333,3323
15,23214,2976,109,320,61,898,1754,2833,16,1299,303
15,2979,12788,89,57,110,456,342,2229,28,963,634
15,100,76,275,92,0,256,2,53,43,307,151
15,312,56,104,6822,0,672,3,116,27,177,97
15,53,110,0,0,4,0,0,55,0,17,29
15,857,445,267,681,0,2459,19,477,21,581,95
15,1771,344,2,3,0,18,1524,216,0,17,0
15,2793,2224,63,122,50,486,216,3019,29,465,568
15,13,27,38,27,2,21,0,23,77,59,27
15,1216,910,330,166,20,572,16,465,56,2776,933
15,280,636,157,98,29,84,0,552,27,1007,2587
16,18369,2240,147,236,,1637,2183,3156,52,715,7
16,2231,9843,54,42,,828,534,2236,32,212,13
16,134,51,265,22,,268,1,53,56,308,19
16,225,39,24,6693,,1157,17,462,15,20,1
16,,,,,,,,,,,
16,1633,809,283,1149,,4195,72,1470,53,433,19
16,2217,540,1,17,,86,2227,561,1,4,0
16,3164,2193,51,486,,1465,560,3868,22,108,3
16,56,32,54,11,,59,1,20,109,46,0
16,635,202,274,24,,398,3,89,38,2803,105
16,4,11,17,2,,17,0,1,0,115,7
17,25454,41,0,148,7484,1,,733,,94,2331
17,38,56,0,3,498,0,,24,,6,29
17,0,0,0,0,4,0,,0,,0,8
17,140,2,0,5055,41,7,,124,,74,1370
17,7547,527,5,43,26700,0,,693,,55,2247
17,2,0,0,7,0,0,,0,,0,5
17,,,,,,,,,,,
17,737,22,0,135,691,0,,306,,5,174
17,,,,,,,,,,,
17,74,4,0,42,44,0,,3,,309,478
17,2242,32,7,1407,2152,4,,175,,507,11358
18,27028,526,9,88,1155,8,25,6787,9,47,571
18,508,3234,32,36,1259,27,5,2711,5,57,684
18,5,25,74,3,18,4,0,104,24,6,193
18,86,36,3,6639,9,39,0,1456,7,38,289
18,1142,1279,21,12,2153,15,0,1708,7,40,763
18,6,31,4,35,13,8,0,123,4,3,42
18,25,5,0,0,0,0,0,28,0,0,0
18,6720,2709,117,1471,1657,120,24,28146,30,143,2229
18,4,7,24,7,6,4,0,35,9,3,35
18,46,53,6,26,37,2,0,131,3,19,91
18,526,657,202,269,737,43,0,2151,40,100,2993
19,3757,796,217,27,0,1388,136,2920,59,1491,31
19,785,1565,163,19,1,719,27,2223,23,963,57
19,203,148,2089,38,0,922,0,631,152,1649,262
19,22,18,42,3395,0,133,2,182,21,77,31
19,0,1,0,0,0,0,0,5,0,0,0
19,1355,701,967,140,0,3973,17,3002,232,2533,90
19,139,33,0,2,0,13,71,195,0,0,0
19,2849,2252,707,195,5,2994,203,21132,136,1737,346
19,59,18,149,23,0,228,0,133,252,86,4
19,1468,958,1725,79,0,2492,0,1713,86,9633,509
19,31,50,277,30,0,92,0,324,5,485,152
