Sample,B,CD4 T,Endothelial,Epithelial,Immune,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown
4,115.7001841,-43.79022651,-26.33330337,-40.9614327,,-37.73892835,47.92485518,4.145592025,-22.97040224,-16.34168421,-2.881267686
4,-43.70310108,104.656458,-26.14630752,-56.00550707,,-4.785514597,-27.71119972,11.87102164,-18.25251211,-19.83921614,-3.005078765
4,-26.12726649,-26.23435182,65.42525061,-29.81332516,,14.18751332,-17.47619228,-13.41829786,7.245547014,28.27517409,7.808906984
4,-40.98751149,-56.58484624,-30.1008803,164.4334566,,-54.10526077,-23.36384857,-19.7179487,-4.666081624,-28.40115504,-2.907006046
4,,,,,,,,,,,
4,-37.81395957,-6.304173449,16.62668086,-53.80263343,,66.95363092,-30.26631293,-1.347718719,-10.33980051,20.30516437,2.166007218
4,49.46767423,-27.78981264,-17.4655836,-22.07607196,,-29.73053535,92.45163961,1.966656458,-15.02197007,-15.6536128,-1.720908676
4,4.576281341,11.77223433,-12.91850191,-19.06450844,,-0.718104834,1.433384339,30.38888669,-6.500936706,-11.66869095,-1.607376442
4,-22.56829486,-18.86909485,7.891078665,-4.17346484,,-10.72011066,-15.09179154,-7.104882049,91.29054429,-5.797428423,-1.736685583
4,-17.02192102,-19.689078,27.37941829,-27.94116505,,19.12598698,-15.3255442,-11.90206588,-7.539043951,55.7313963,6.702718389
4,-2.80802084,-3.202407504,10.24867707,-2.834646758,,1.836126152,-1.707810187,-1.587851426,-1.725084344,9.791284661,-0.112607821
5,112.783789,-84.123755,-23.991828,-58.247486,-6.7412771,-34.287167,17.0540372,-15.642178,-21.664099,-18.377692,-21.225421
5,-82.824068,121.013432,-7.0915847,-41.007665,-2.07961,-4.6131416,-27.600375,3.56527802,-9.810055,-13.710794,-13.287242
5,-23.928059,-9.4884237,51.2336862,-4.9923749,0.07766121,19.1397339,-10.710187,-3.980724,27.6146962,19.809675,3.40890271
5,-56.801494,-39.954785,-5.6390263,159.261039,-0.8382723,-3.3173306,-22.697533,-15.539349,-2.2570165,-10.067328,-3.5917618
5,-6.3160748,-1.432827,0.0749321,-0.8068784,15.4623782,-1.7871456,-3.283203,4.01220173,0.62614238,5.08428703,29.0568942
5,-33.625066,-5.8006943,20.2175573,-3.9041314,-1.8076672,50.4523816,-19.886042,7.75175709,8.08964729,17.188102,-5.0606103
5,16.1187136,-26.718656,-10.957969,-22.699658,-3.3873946,-20.035757,56.9457424,-6.7119264,-9.6447679,-11.369587,-9.6650068
5,-15.036815,3.92329916,-3.8402403,-15.20172,5.2632704,8.23833729,-6.9690042,32.5815949,-4.2620733,-4.2234902,11.185835
5,-20.591637,-10.461092,25.2575185,-1.8667458,-0.2906246,6.82779366,-9.4172868,-4.5400086,83.7556038,-0.8319594,10.6440416
5,-18.952255,-14.696864,18.0612004,-9.9224564,3.85077897,16.5343321,-11.60155,-4.6514837,-0.4354408,66.6292934,10.1768386
5,-20.805488,-13.325695,3.17406709,-3.5631732,29.9691856,-5.0770411,-9.3102907,10.4866957,10.4846543,8.96139681,95.2712917
6,108.298706,-51.636355,-20.475399,-36.628219,1.70517819,-38.644127,15.2365617,-10.523831,-21.696885,-32.090341,-22.966343
6,-50.137665,112.196283,-8.2863906,-29.962291,-42.044088,8.05221811,6.88054009,8.03987822,-3.7795936,-25.62971,-35.382415
6,-20.498102,-9.1690635,52.598655,-8.9311811,-13.865696,8.79741066,-4.6807202,-3.3256084,19.7577739,29.2990495,-5.7280366
6,-36.006468,-29.213647,-8.5793384,141.46368,-29.954125,-11.741116,-9.2809199,-10.880388,-8.0595593,-13.75891,-3.5437497
6,2.15307086,-41.597225,-14.575131,-30.192111,98.1603764,-36.684866,-15.033874,-7.2839127,-15.105819,-26.764295,9.91233761
6,-37.953189,7.3184341,9.07227255,-11.883365,-35.967686,92.2477734,-10.035482,7.26836169,8.61964349,-14.198184,-28.284525
6,15.4195163,5.71281013,-4.8905145,-8.6819271,-14.569721,-9.9120078,37.0043204,4.28276897,-4.4230981,-7.8010636,-11.325474
6,-10.972661,7.77586899,-2.9077546,-10.434793,-6.6041285,8.14669547,4.07856008,36.8078705,-1.1344563,-13.018087,-9.2239591
6,-21.675243,-4.732112,20.4020334,-8.1033485,-15.048897,7.84774855,-4.8269455,-1.8511831,88.1911762,-6.8416412,-10.329482
6,-33.772892,-26.623074,26.1094947,-15.025995,-27.045293,-14.88469,-8.1981858,-13.407682,-6.398888,125.900663,-8.0233148
6,-23.491837,-34.981821,-5.8694392,-2.3960881,7.71375104,-28.541941,-11.195177,-9.7586377,-9.8346813,-5.6658556,98.1899739
7,122.978563,-91.820909,-29.583771,-18.206889,-1.3179888,-13.527425,34.0496042,9.70750523,-18.623325,-33.23607,-7.6216587
7,-93.251845,148.819311,-33.09232,-41.073863,-2.2380092,-18.199603,-42.84525,-9.8118314,-19.726327,-60.519777,-11.487124
7,-28.814334,-34.885316,72.7336987,-11.904302,1.62556178,11.9005904,-13.651926,-4.3430161,6.96968254,30.2208921,7.31816897
7,-18.182246,-39.806816,-12.294732,131.165681,-0.5011823,4.04954108,-10.823469,2.03094982,-1.6189523,-13.43632,-1.7313874
7,-1.274171,-2.0853966,5.79107808,-0.4819891,,-0.4847749,-0.5642812,-0.2877216,-0.324628,5.44670289,-0.169725
7,-13.838152,-18.696653,14.0686831,3.83149748,-0.4854147,29.025645,-12.033613,4.53868345,0.26394363,17.1262533,3.24296083
7,32.7027431,-39.072275,-13.513822,-10.574035,-0.5702567,-12.167511,80.4212287,3.12442115,-8.2541432,-22.568663,-4.3300291
7,10.5634035,-10.343843,-4.2184749,2.34867916,-0.2937039,5.06782353,3.11293769,14.7459042,-1.9874511,-6.4600207,0.15262935
7,-18.190497,-19.351069,6.9718771,-1.3669411,-0.3113266,-0.1559166,-8.1644635,-1.9955756,108.080734,-1.3289628,-2.0582141
7,-33.889148,-59.375001,31.7183542,-13.440841,5.42570366,16.5901705,-22.688415,-7.1346748,-2.1063613,91.6923936,21.136706
7,-7.7386785,-11.747737,6.29094155,-1.9668191,-0.166581,2.92857469,-4.3134163,0.15969191,-2.4197864,20.9807272,12.069445
8,118.9589013,-38.99060289,-27.86365158,-62.20413845,-4.91820244,-30.16009024,5.508311372,-63.08266234,-9.828686772,-36.57362025,-49.07386333
8,-36.85764185,115.2302433,-1.656077192,-21.2930741,9.371060632,-1.669279363,6.162273801,-18.69091635,-0.822907066,4.522311782,-6.723257707
8,-26.57430844,-1.895923967,70.74808644,-8.218233734,-1.990278602,25.57073908,-1.368751592,-14.94664169,31.43916717,30.46611099,11.27832522
8,-59.16335337,-20.87471544,-8.513995296,137.5233451,-4.439643966,-12.49469646,-4.796206466,-22.89479369,-2.101426998,-10.37792225,27.04340502
8,-5.432847402,9.390736062,-1.988643752,-3.939438705,23.2200157,-3.066617856,-1.026762018,-1.800609441,-0.674726648,4.211098565,3.283911963
8,-28.76640847,-2.240176303,31.99029896,-12.86531839,-3.054081042,106.1469487,-0.919471895,-18.21183458,9.731692925,22.23951971,-9.336698143
8,6.227708043,6.503981025,-1.365647067,-4.849031387,-1.029850746,-0.925678802,21.05199525,-6.200413641,-0.639663981,-2.910899926,-3.544963159
8,-61.82541846,-18.69558226,-15.29192367,-21.96999628,-1.713558995,-18.25764842,-6.460077693,94.33170853,-3.928860986,-27.21001228,-12.7969115
8,-9.555760398,-1.586798694,28.12407172,-2.118353688,-0.668849185,8.03758414,-0.623867346,-3.929252964,20.96923989,3.922872245,4.276950582
