Sample,B,CD4 T,Endothelial,Epithelial,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown,doublet
4,2782,112,121,12,305,334,64,18,2,0,2789
4,118,5535,70,77,608,33,265,66,0,1,4384
4,132,69,811,15,419,0,6,71,11,0,1452
4,15,70,18,4457,100,6,7,105,10,0,2739
4,303,611,431,91,2494,8,113,68,6,1,3989
4,335,34,0,7,10,662,46,0,0,0,1132
4,60,263,7,7,118,42,143,4,0,0,671
4,16,61,70,105,67,0,3,762,7,0,890
4,1,0,7,0,5,0,0,0,76,0,33
4,0,0,0,0,1,0,0,0,0,0,4
4,2796,4309,1507,2705,3961,1105,667,880,32,4,22171
5,10961,204,12,12,83,816,108,0,4,3,5654
5,200,5752,27,46,209,102,294,15,0,5,5428
5,10,25,87,24,52,1,5,14,1,0,355
5,10,41,22,1728,46,7,3,6,3,0,1553
5,75,201,50,42,399,13,79,9,0,0,1361
5,796,106,1,8,11,623,36,0,0,2,1663
5,106,308,4,2,83,29,190,2,0,0,1023
5,0,10,14,7,8,0,2,122,0,3,241
5,4,0,0,0,0,1,0,0,37,0,76
5,3,2,0,0,0,1,0,2,0,40,145
5,5613,5399,371,1563,1365,1677,1041,250,87,139,26589
6,6160,96,0,12,51,134,26,1,25,815,3758
6,98,3363,24,16,310,66,110,27,4,96,3278
6,0,16,97,0,41,0,2,21,78,1,297
6,13,16,0,1330,79,2,3,8,6,26,1086
6,54,311,43,77,1446,4,59,22,1,0,1815
6,135,60,0,2,4,93,6,0,0,40,540
6,26,108,3,3,61,6,67,6,0,0,366
6,0,26,22,7,20,0,4,277,12,0,305
6,11,1,66,4,0,0,0,12,2379,45,557
6,820,99,1,27,0,34,0,0,57,3827,3767
6,3717,3242,296,1108,1798,525,353,316,702,3760,20255
7,6735,225,61,18,88,419,53,8,16,0,4302
7,236,17506,71,33,63,63,48,31,6,0,5665
7,41,52,294,0,21,0,2,23,27,1,698
7,18,28,0,333,4,1,0,2,1,0,677
7,89,63,24,5,52,0,7,4,3,1,507
7,391,68,0,1,0,540,18,0,0,0,894
7,58,45,4,1,7,16,9,0,0,0,198
7,6,31,20,3,4,0,0,263,4,0,259
7,5,3,20,1,0,0,0,3,451,0,507
7,0,0,1,0,1,0,0,0,0,0,4
7,4283,5553,747,697,510,911,199,266,614,4,21683
8,13648,263,21,17,97,1683,114,1,15,9,9266
8,271,1240,5,0,19,233,53,2,2,9,1239
8,17,4,88,0,40,9,1,1,17,2,238
8,16,0,0,1000,0,119,0,0,0,38,1331
8,92,19,47,0,294,4,75,1,7,0,571
8,1666,238,9,114,4,7278,14,1,1,71,6216
8,113,58,2,0,72,14,242,0,0,0,493
8,1,1,1,0,2,1,0,2,1,0,22
8,8,2,7,2,5,1,0,1,195,2,276
8,13,9,3,42,0,69,0,0,3,437,563
8,9157,1226,237,1345,547,6171,479,21,347,572,24677
9,7852,254,11,18,39,1177,0,0,12,48,4737
9,251,4867,9,0,12,745,6,0,0,113,3570
9,11,8,109,0,8,5,0,5,33,19,359
9,15,0,0,4631,0,78,0,0,77,66,1050
9,38,10,10,0,57,13,2,0,3,2,230
9,1197,750,7,71,10,4852,0,1,2,159,5366
9,0,7,0,0,2,1,0,0,0,0,17
9,0,0,6,0,0,0,0,2,0,1,21
9,7,0,18,65,2,0,0,0,830,52,731
9,45,112,24,60,1,144,0,1,70,904,1692
9,4750,3502,376,1023,223,5297,16,21,851,1696,21611
10,11491,960,26,13,188,1132,483,8,15,5,11182
10,940,5458,17,0,41,650,78,0,2,28,3629
10,25,13,64,10,11,4,5,7,4,4,257
10,13,0,10,1080,47,0,2,1,0,0,1058
10,188,38,16,49,465,11,74,2,2,0,1056
10,1122,639,6,0,8,1540,47,0,1,17,3632
10,483,85,7,1,80,54,198,0,0,0,1051
10,8,0,7,1,2,0,0,21,0,1,98
10,4,0,2,0,0,0,0,0,271,0,54
10,6,26,4,0,0,16,0,1,0,8,98
10,11190,3665,279,1048,1060,3613,1057,104,95,99,29497
11,9723,1066,93,61,250,551,536,8,23,0,8753
11,1048,4195,24,0,195,89,442,3,0,0,4027
11,81,14,260,3,41,0,8,24,10,0,664
11,55,0,2,1852,45,1,7,2,11,0,1921
11,248,192,48,44,447,1,130,5,2,0,1746
11,549,87,1,1,2,341,51,1,0,0,1129
11,532,425,10,13,138,50,420,1,0,0,1825
11,6,1,23,2,3,0,0,78,0,0,175
11,4,0,3,7,0,0,0,0,464,0,143
11,0,0,0,0,0,0,0,0,0,0,0
11,8604,3980,706,1911,1747,1121,1832,184,294,0,25637
12,10566,363,7,16,56,967,113,0,3,29,8747
12,381,5357,14,5,19,886,27,2,3,97,3968
12,4,12,27,0,6,11,0,0,0,0,140
12,18,6,0,999,24,4,8,0,5,5,739
12,55,19,7,21,101,2,23,2,0,0,349
12,941,866,12,6,2,1860,6,3,1,94,4335
12,112,28,2,9,23,6,44,0,0,0,318
12,0,2,0,0,3,3,0,2,0,2,37
12,1,1,0,2,0,0,0,0,79,12,172
12,33,87,1,10,0,89,0,2,18,379,1012
12,8769,3933,152,744,348,4320,307,37,257,1008,28699
13,14682,1005,65,29,293,868,362,4,22,0,10706
13,991,8861,32,2,344,171,342,6,3,0,5800
13,55,22,146,0,41,0,6,13,40,0,548
13,25,1,0,718,32,4,1,0,1,0,541
13,301,334,52,32,558,21,98,2,15,0,1827
13,886,169,0,4,23,1432,45,0,0,0,2434
13,355,335,7,1,105,45,188,6,2,0,1090
