Sample,B,CD4 T,Endothelial,Epithelial,Immune,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown,doublet
4,2543,92,4,11,,52,334,61,0,8,0,1998
4,95,5535,70,77,,608,33,265,66,23,1,4384
4,5,69,811,15,,419,0,6,71,138,0,1452
4,14,70,18,4457,,100,6,7,105,11,0,2739
4,,,,,,,,,,,,
4,52,611,431,91,,2494,8,113,68,257,1,3989
4,334,34,0,7,,10,662,46,0,1,0,1132
4,56,263,7,7,,118,42,143,4,4,0,671
4,0,61,70,105,,67,0,3,762,23,0,890
4,8,20,124,1,,258,0,3,18,302,0,824
4,0,0,0,0,,1,0,0,0,0,0,4
4,2011,4309,1507,2705,,3961,1105,667,880,817,4,22171
5,10902,196,6,12,1,55,813,106,0,16,2,5436
5,191,5752,27,46,0,209,92,304,15,9,5,5428
5,4,25,87,24,0,52,1,5,14,7,0,355
5,9,41,22,1728,0,46,7,3,6,4,0,1553
5,1,0,0,0,0,0,0,0,0,0,1,7
5,51,201,50,42,0,399,13,79,9,24,0,1361
5,793,96,1,8,0,11,623,35,0,2,0,1598
5,103,318,4,2,0,83,28,192,2,4,2,1088
5,0,10,14,7,0,8,0,2,122,0,3,241
5,16,8,6,0,0,28,2,4,0,72,0,294
5,2,2,0,0,1,0,0,1,2,0,38,138
5,5394,5399,371,1563,4,1365,1613,1105,250,306,135,26589
6,6146,86,0,10,724,35,105,52,1,22,91,3663
6,83,3363,24,16,85,310,42,134,27,19,11,3278
6,0,16,97,0,0,41,0,2,21,78,1,297
6,11,16,0,1330,2,79,2,3,8,8,24,1086
6,732,88,0,3,2476,0,0,25,0,7,184,2555
6,34,311,43,77,0,1446,2,61,22,21,0,1815
6,108,37,0,2,0,2,58,6,0,1,0,288
6,49,131,3,3,30,63,6,102,6,3,10,618
6,0,26,22,7,0,20,0,4,277,12,0,305
6,14,11,66,6,4,16,1,2,12,2393,41,652
6,88,11,1,24,165,0,0,9,0,50,1002,1212
6,3625,3242,296,1108,2526,1798,288,590,316,794,1234,20255
7,6245,175,5,14,,18,413,56,0,53,0,2951
7,179,17506,71,33,,63,62,49,31,63,0,5665
7,2,52,294,0,,21,0,2,23,66,1,698
7,15,28,0,333,,4,1,0,2,4,0,677
7,18,63,24,5,,52,0,7,4,74,1,507
7,384,67,0,1,,0,540,18,0,1,0,882
7,,,,,,,,,,,,
7,60,46,4,1,,7,16,9,0,4,0,210
7,0,31,20,3,,4,0,0,263,10,0,259
7,48,53,76,5,,70,0,3,11,861,0,1858
7,0,0,1,0,,1,0,0,0,0,0,4
7,2967,5553,747,697,,510,900,210,266,1930,4,21683
8,13515,239,1,17,3,53,33,1738,0,31,3,8956
8,246,1240,5,0,8,19,7,279,2,27,1,1239
8,0,4,88,0,0,40,0,10,1,34,2,238
8,16,0,0,1000,0,0,0,119,0,0,38,1331
8,4,8,0,0,0,0,0,7,0,1,0,30
8,50,19,47,0,0,294,1,78,1,49,0,571
8,38,6,0,0,0,1,6,3,0,0,0,58
8,1717,290,11,114,7,75,4,7535,1,25,64,6651
8,0,1,1,0,0,2,0,1,2,2,0,22
8,31,26,27,2,0,49,0,27,2,289,5,586
8,6,1,3,42,0,0,0,62,0,5,437,533
8,8845,1226,237,1345,30,547,57,6593,21,659,542,24677
9,7686,178,0,17,26,4,,1155,0,19,9,4176
9,178,4867,9,0,50,12,,751,0,73,63,3570
9,0,8,109,0,0,8,,5,5,44,19,359
