Sample,B,CD4 T,Endothelial,Epithelial,Immune,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown,doublet
4,94.9536687,-25.066833,-13.659286,-23.188012,,-21.267836,18.2953368,-2.5273168,-11.834877,-9.4701185,-0.6793478,-13.350067
4,-25.029434,86.5892252,-18.193256,-32.315551,,-16.092293,-16.56059,6.85310698,-13.215147,-14.146267,0.26201482,-18.408091
4,-13.76765,-18.333763,50.8440032,-16.849654,,7.47272776,-8.8881898,-6.328315,-0.2487385,10.6643368,-0.4890254,-1.2969395
4,-22.353306,-33.312513,-16.409419,112.591575,,-25.923227,-14.35878,-10.761909,-6.05425,-11.314545,-0.7875306,-20.4135
4,,,,,,,,,,,,
4,-21.363152,-15.72126,8.29281279,-26.301426,,49.8710891,-14.938581,-1.5547061,-9.8088718,8.47534154,0.60121977,0.45617653
4,17.7181537,-16.13051,-9.1754121,-14.29332,,-14.873484,59.7012247,1.88481288,-7.3603209,-6.430962,-0.4136937,2.26686199
4,-3.1187997,6.64327962,-6.1198422,-10.464695,,-1.050514,1.18705874,19.6251155,-5.0970822,-4.2196668,-0.3169047,1.27993609
4,-11.522688,-13.754264,-0.3557017,-5.8738505,,-9.7772538,-7.5509195,-5.1857161,76.0609779,-2.5665612,-0.3710208,-3.2233207
4,-9.3890705,-14.177814,8.88093767,-12.208169,,8.65151308,-6.6218381,-4.4260064,-3.4010914,36.0695223,-0.3354797,2.24190453
4,-0.6650412,-0.9260542,-0.4960962,-0.7704439,,0.57026611,-0.4111655,-0.306256,-0.3767506,-0.3416667,,0.76926622
4,-14.079752,-21.028257,0.54658295,-22.452079,,-0.1413752,1.31918513,1.19545467,-4.010572,2.08645463,0.84681112,24.0756324
5,106.4480075,-54.48022799,-11.62681743,-29.84127321,-0.241585312,-21.70482044,7.569648068,-15.79358408,-10.34393932,-8.422935429,-6.426333507,-48.40327868
5,-54.55877095,83.03187202,-6.430406679,-21.18625279,-0.98914629,-6.786056438,-18.07500304,3.280508313,-6.103528128,-7.459049221,-4.451258199,-13.0476471
5,-11.52791723,-6.63054959,30.99944307,0.073188823,-0.193246988,9.668445576,-4.787478573,-2.128906955,6.674473307,2.46966632,-1.132572061,4.228878593
5,-29.01548479,-21.21952719,-0.356212889,102.6748965,-0.500877415,-4.701305156,-11.24776848,-8.182398704,-2.710697272,-3.272162574,-2.814292315,-6.500080092
5,-0.236429592,-0.992142291,-0.184732681,-0.502686076,,-0.400328403,-0.472347976,-0.335479739,-0.175863115,-0.196282479,10.49338416,2.979541431
5,-21.17762674,-7.316095172,9.174944041,-5.191825875,-0.416057998,32.1118607,-8.130949923,4.55486563,-0.613665408,3.515239497,-2.181781494,7.775435499
